,T (°C),Electricity (kWh),Gas (m3)
2022-10-13 00:00:00,21.663806871646198,0.033,
2022-10-13 00:30:00,21.613471173164466,0.145,
2022-10-13 01:00:00,21.556563498724174,0.461,
2022-10-13 01:30:00,21.496122089129642,0.061,
2022-10-13 02:00:00,21.44341869908361,0.021,
2022-10-13 02:30:00,21.388751133830098,0.056,
2022-10-13 03:00:00,21.33777752346075,0.05,
2022-10-13 03:30:00,21.29694522858863,0.031,
2022-10-13 04:00:00,21.259720844671634,0.041,
2022-10-13 04:30:00,21.225015470952755,0.053,
2022-10-13 05:00:00,21.199454489967195,0.051000000000000004,
2022-10-13 05:30:00,21.136603850359858,0.035,
2022-10-13 06:00:00,21.10040012546307,0.042,
2022-10-13 06:30:00,20.853813060027296,0.037,
2022-10-13 07:00:00,20.94687401981977,0.043000000000000003,
2022-10-13 07:30:00,20.997168179853006,0.047,
2022-10-13 08:00:00,20.994548290565685,0.063,
2022-10-13 08:30:00,20.976443461085253,0.034,
2022-10-13 09:00:00,20.953336215593026,0.115,
2022-10-13 09:30:00,20.98249027237354,0.117,
2022-10-13 10:00:00,21.136399125149413,0.082,
2022-10-13 10:30:00,21.17340988275985,0.02,
2022-10-13 11:00:00,21.189526800776516,0.032,
2022-10-13 11:30:00,21.320375880572723,0.081,
2022-10-13 12:00:00,21.396667175300728,0.241,
2022-10-13 12:30:00,21.39486025279113,0.149,
2022-10-13 13:00:00,21.39221366021549,0.134,
2022-10-13 13:30:00,21.37103795257835,0.077,
2022-10-13 14:00:00,21.293853581207667,0.069,
2022-10-13 14:30:00,21.15178912031739,0.045,
2022-10-13 15:00:00,21.10336715749854,0.083,
2022-10-13 15:30:00,21.17915999084459,0.031,
2022-10-13 16:00:00,21.135233081559473,0.05,
2022-10-13 16:30:00,20.93719259428804,0.074,
2022-10-13 17:00:00,21.174513618677043,0.088,
2022-10-13 17:30:00,21.67811093308919,0.07200000000000001,
2022-10-13 18:00:00,21.737033222281564,0.088,
2022-10-13 18:30:00,21.704487847884504,0.11,
2022-10-13 19:00:00,21.65581072031061,0.7020000000000001,
2022-10-13 19:30:00,21.63984512092775,0.79,
2022-10-13 20:00:00,21.60436831887965,0.136,
2022-10-13 20:30:00,21.601754363656404,0.096,
2022-10-13 21:00:00,21.607821944168936,0.355,
2022-10-13 21:30:00,21.557480311623134,0.459,
2022-10-13 22:00:00,21.49197714537609,0.468,
2022-10-13 22:30:00,21.428429253240424,0.168,
2022-10-13 23:00:00,21.366620041877535,0.073,
2022-10-13 23:30:00,21.31051049905479,0.042,
2022-10-14 00:00:00,21.261153921144764,0.046,
2022-10-14 00:30:00,21.2162775616083,0.045,
2022-10-14 01:00:00,21.176910980561704,0.062,
2022-10-14 01:30:00,21.13996253062401,0.039,
2022-10-14 02:00:00,21.10809957359511,0.045,
2022-10-14 02:30:00,21.078174088485373,0.04,
2022-10-14 03:00:00,21.049482888702393,0.035,
2022-10-14 03:30:00,21.02423641311259,0.048,
2022-10-14 04:00:00,20.999084882547915,0.044,
2022-10-14 04:30:00,20.97382653882997,0.043000000000000003,
2022-10-14 05:00:00,20.949805447470816,0.03,
2022-10-14 05:30:00,20.923980400634097,0.047,
2022-10-14 06:00:00,20.80273263650467,0.054,
2022-10-14 06:30:00,20.61456346481524,0.032,
2022-10-14 07:00:00,20.597274569144563,0.032,
2022-10-14 07:30:00,20.73690903079779,0.041,
2022-10-14 08:00:00,20.824584827445893,0.062,
2022-10-14 08:30:00,20.915011062790875,0.052000000000000005,
2022-10-14 09:00:00,21.06066859947611,0.11,
2022-10-14 09:30:00,21.137123080966067,0.089,
2022-10-14 10:00:00,21.203563829336318,0.112,
2022-10-14 10:30:00,21.434725295219685,0.084,
2022-10-14 11:00:00,21.477047040173613,0.248,
2022-10-14 11:30:00,21.48061341268025,0.203,
2022-10-14 12:00:00,21.47509176606224,0.099,
2022-10-14 12:30:00,21.448783093003737,0.447,
2022-10-14 13:00:00,21.44190551274552,0.20400000000000001,
2022-10-14 13:30:00,21.520976916490763,0.107,
2022-10-14 14:00:00,21.57723184388325,0.07100000000000001,
2022-10-14 14:30:00,21.530693946406924,0.059000000000000004,
2022-10-14 15:00:00,21.583886896738807,0.085,
2022-10-14 15:30:00,21.659448301586092,0.277,
2022-10-14 16:00:00,21.665290387663926,0.277,
2022-10-14 16:30:00,21.65701533531701,0.20700000000000002,
2022-10-14 17:00:00,21.614153590532624,0.244,
2022-10-14 17:30:00,21.644877207259906,0.281,
2022-10-14 18:00:00,21.674951043971415,0.20400000000000001,
2022-10-14 18:30:00,21.72530157761332,0.22,
2022-10-14 19:00:00,21.762641675779694,0.212,
2022-10-14 19:30:00,21.539781965531564,0.231,
2022-10-14 20:00:00,21.51915219178895,0.23,
2022-10-14 20:30:00,21.490716156761017,0.152,
2022-10-14 21:00:00,21.473548909403796,0.242,
2022-10-14 21:30:00,21.489787475733916,0.11800000000000001,
2022-10-14 22:00:00,21.463831879487635,0.707,
2022-10-14 22:30:00,21.41456134550664,0.1,
2022-10-14 23:00:00,21.361024219458645,0.521,
2022-10-14 23:30:00,21.308314895348545,0.061,
2022-10-15 00:00:00,21.255104142824447,0.057,
2022-10-15 00:30:00,21.2053440485576,0.039,
2022-10-15 01:00:00,21.159001975195615,0.054,
2022-10-15 01:30:00,21.11005781473852,0.028,
2022-10-15 02:00:00,21.06747793799751,0.065,
2022-10-15 02:30:00,21.026891906784332,0.031,
2022-10-15 03:00:00,20.990928511482416,0.047,
2022-10-15 03:30:00,20.95487907225147,0.034,
2022-10-15 04:00:00,20.920256775429586,0.043000000000000003,
2022-10-15 04:30:00,20.890182938718073,0.03,
2022-10-15 05:00:00,20.859607673592567,0.053,
2022-10-15 05:30:00,20.79448428744606,0.045,
2022-10-15 06:00:00,20.775035392453564,0.033,
